Article Link,No of Shares/Likes
https://www.careeranna.com/articles/corona-virus-impact-indian-economy/,7808
https://www.careeranna.com/articles/cat-2020-official-website/,5587
https://www.careeranna.com/articles/iim-indore-ipmat-2020-exam-date-extended/,2150
https://www.careeranna.com/articles/iim-amritsar-placement-report-2020/,5232
https://www.careeranna.com/articles/jbims-summer-placement-report-2020/,6382
https://www.careeranna.com/articles/bits-pilani-mba-placement-report-2020/,4602
https://www.careeranna.com/articles/fms-delhi-placement-report-2020/,4879
https://www.careeranna.com/articles/nitie-mumbai-placement-report-2020/,2199
https://www.careeranna.com/articles/5-trillion-economy-is-it-possible-for-india/,8288
https://www.careeranna.com/articles/xavier-university-placement-report-2020/,4424
